Título;Gênero;Categoria de Gênero;Pré estreia;Temporadas;Quantidade de temporadas;quantidade de episodios;Duração;Duração mínima;Duração máxima;Status;Ativa;Catálogo;Idioma;dt_inclusao;Data de Alteracao
Mindhunter;Crime drama;crime,drama;2023-04-27;1 season, 10 episodes;1;10;34–60 min.;34;60;Renewed;1;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
Rotten;Documentary;documentary;2023-04-27;1 season, 6 episodes;1;6;48–58 min.;48;58;Ended;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Trinkets;Coming-of-age drama;coming-of-age,drama;2023-04-27;1 season, 10 episodes;1;10;22–29 min.;22;29;Pending;1;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
Jimmy: The True Story of a True Idiot;Comedy;comedy;2023-04-27;1 season, 9 episodes;1;9;39–64 min.;39;64;Pending;1;ForeignLanguage;Japanese;2021-03-16;2023-04-27T17:33:17.694Z
Friends from College;Comedy;comedy;2023-04-27;2 seasons, 16 episodes;2;16;26–34 min.;26;34;Ended;0;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
Everything Sucks!;Coming-of-age comedy;coming-of-age,comedy;2023-04-27;1 season, 10 episodes;1;10;23–27 min.;23;27;Ended;0;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
Hero Mask;Crime;crime;2023-04-27;1 season, 15 episodes;1;15;25 min.;0;0;Pending;1;Anime;English;2021-03-16;2023-04-27T17:33:17.694Z
Knights of the Zodiac: Saint Seiya;Action;action;2023-04-27;a ser anunciado;0;0;TBA;0;0;Pending;1;Anime;English;2021-03-16;2023-04-27T17:33:17.694Z
The Crown;Historical drama;historical,drama;2023-04-27;2 seasons, 20 episodes;2;20;54–61 min.;54;61;Renewed;1;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
Baby;Drama;drama;2023-04-27;1 season, 6 episodes;1;6;40–49 min.;40;49;Renewed;1;ForeignLanguage;Italian;2021-03-16;2023-04-27T17:33:17.694Z
Amazing Interiors;Reality;reality;2023-04-27;1 season, 12 episodes;1;12;21–28 min.;21;28;Pending;1;Reality;English;2021-03-16;2023-04-27T17:33:17.694Z
The Kominsky Method;Comedy;comedy;2023-04-27;1 season, 8 episodes;1;8;23–34 min.;23;34;Renewed;1;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
Sex Education;Coming-of-age comedy-drama;coming-of-age,comedy-drama;2023-04-27;1 season, 8 episodes;1;8;47–53 min.;47;53;Renewed;1;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
Nailed It!;Competition;competition;2023-04-27;3 seasons, 19 episodes;3;19;12–35 min.;12;35;Pending;1;Reality;English;2021-03-16;2023-04-27T17:33:17.694Z
The Rain;Post-apocalyptic drama;post-apocalyptic,drama;2023-04-27;2 seasons, 14 episodes;2;14;36–49 min.;36;49;Renewed;1;ForeignLanguage;Danish;2021-03-16;2023-04-27T17:33:17.694Z
Samantha!;Comedy;comedy;2023-04-27;2 seasons, 14 episodes;2;14;25–37 min.;25;37;Pending;1;ForeignLanguage;Portuguese;2021-03-16;2023-04-27T17:33:17.694Z
Jailbirds;Reality television;reality,television;2023-04-27;1 season, 10 episodes;1;10;37–47 min.;37;47;Pending;1;Reality;English;2021-03-16;2023-04-27T17:33:17.694Z
13 Reasons Why;Teen drama/mystery;teen,drama,mystery;2023-04-27;2 seasons, 26 episodes;2;26;49–70 min.;49;70;Renewed;1;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
Ever After High;childrens-animation;childrens-animation;2023-04-27;5 seasons, 17 episodes;5;17;23–47 min.;23;47;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Jack Whitehall: Travels with My Father;Travel documentary;travel,documentary;2023-04-27;2 seasons, 11 episodes;2;11;28–32 min.;28;32;Pending;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Shot in the Dark;True crime;true,crime;2023-04-27;1 season, 8 episodes;1;8;34–41 min.;34;41;Ended;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Killer Ratings;Docu-series;docu-series;2023-04-27;1 season, 7 episodes;1;7;42–58 min.;42;58;Pending;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
The Innocents;Supernatural fiction;supernatural,fiction;2023-04-27;1 season, 8 episodes;1;8;46–56 min.;46;56;Ended;0;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
The Order;Supernatural horror drama;supernatural,horror,drama;2023-04-27;1 season, 10 episodes;1;10;42–51 min.;42;51;Renewed;1;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
Trailer Park Boys Out of the Park: Europe;Mockumentary;mockumentary;2023-04-27;1 season, 8 episodes;1;8;22–30 min.;22;30;Ended;0;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
The Adventures of Puss in Boots;childrens-animation;childrens-animation;2023-04-27;6 seasons, 78 episodes;6;78;22–24 min.;22;24;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
3Below: Tales of Arcadia;childrens-animation;childrens-animation;2023-04-27;1 part, 13 episodes;0;13;23–24 min.;23;24;Renewed;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Roman Empire;Historical drama;historical,drama;2023-04-27;3 seasons, 15 episodes;3;15;38–48 min.;38;48;Pending;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Ugly Delicious;Travel documentary;travel,documentary;2023-04-27;1 season, 8 episodes;1;8;46–55 min.;46;55;Renewed;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Flaked;Comedy;comedy;2023-04-27;2 seasons, 14 episodes;2;14;30–34 min.;30;34;Ended;0;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
My Only Love Song;Comedy;comedy;2023-04-27;1 season, 20 episodes;1;20;27–30 min.;27;30;Ended;0;ForeignLanguage;Korean;2021-03-16;2023-04-27T17:33:17.694Z
Luna Petunia: Return to Amazia;childrens-animation;childrens-animation;2023-04-27;2 seasons, 11 episodes;2;11;24 min.;24;24;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Carmen Sandiego;childrens-animation;childrens-animation;2023-04-27;1 season, 9 episodes;1;9;23–33 min.;23;33;Renewed;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Best.Worst.Weekend.Ever.;Comedy;comedy;2023-04-27;8 episodes;0;8;22–28 min.;22;28;Miniseries;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Turn Up Charlie;Comedy;comedy;2023-04-27;1 season, 8 episodes;1;8;25–29 min.;25;29;Pending;1;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
0.03;Science fiction;science-fiction;2023-04-27;3 seasons, 26 episodes;3;26;38–51 min.;38;51;Pending;1;ForeignLanguage;Portuguese;2021-03-16;2023-04-27T17:33:17.694Z
Llama Llama;childrens-animation;childrens-animation;2023-04-27;1 season, 15 episodes;1;15;24 min.;24;24;Renewed;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Orange Is the New Black;Comedy-drama;comedy-drama;2023-04-27;6 seasons, 78 episodes;6;78;50–92 min.;50;92;Renewed;1;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
Super Monsters;childrens-animation;childrens-animation;2023-04-27;2 seasons, 16 episodes;2;16;22–23 min.;22;23;Renewed;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Alexa & Katie;Sitcom;sitcom;2023-04-27;2 seasons, 23 episodes;2;23;22–30 min.;22;30;Renewed;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
